,cluster_id,cluster_start,cluster_end,action_timing,action_direction,Source,Description,VT_Start,PrevValue,Value,source_table,filtered,Step
35475,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,no_change,03HIC_1141,MODE,2024-12-26 11:01:31.591,CAS,MAN,1L_ChangeEvents,True,
35476,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:01:34.592,2.0004,4.0004,1L_ChangeEvents,True,2.0
35477,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:01:36.474,4.0004,6.0004,1L_ChangeEvents,True,2.0
35478,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:01:41.000,6.0004,8.0004,1L_ChangeEvents,True,2.000000000000001
35479,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:01:41.916,8.0004,10.0004,1L_ChangeEvents,True,2.0
35482,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:02:24.895,10.0004,12.0004,1L_ChangeEvents,True,2.0
35483,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:02:26.472,12.0004,14.0004,1L_ChangeEvents,True,2.0
35484,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,increase,03HIC_1141,OP,2024-12-26 11:02:33.491,14.0004,16.0004,1L_ChangeEvents,True,1.9999999999999982
35486,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,decrease,03HIC_1141,OP,2024-12-26 11:03:14.334,16.0004,14.0004,1L_ChangeEvents,True,-1.9999999999999982
35487,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,decrease,03HIC_1141,OP,2024-12-26 11:03:20.285,14.0004,12.0004,1L_ChangeEvents,True,-2.0
35488,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,decrease,03HIC_1141,OP,2024-12-26 11:03:23.591,12.0004,10.0004,1L_ChangeEvents,True,-2.0
35489,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,decrease,03HIC_1141,OP,2024-12-26 11:03:29.796,10.0004,8.0004,1L_ChangeEvents,True,-2.0
35490,463,2024-12-26 11:25:56.795,2024-12-26 11:31:09.114,before,no_change,03HIC_1141,MODE,2024-12-26 11:03:34.378,MAN,CAS,1L_ChangeEvents,True,
